Employee_ID,Department,Job_Role,Education_Level,Age,Years_At_Company,Monthly_Income,Performance_Score,Join_Date,Attrition,Predicted_Income,Pay_Gap,Pay_Gap_Percent,Pay_Equity_Flag,Attrition_Risk_Probability,Attrition_Risk_Level,High_Performer,Predicted_High_Performer,Cluster,Employee_Segment
409,Sales,Sales Manager,High School,33,6.0,4193.69,63.0,2018-10-17,No,4434.46,-240.77,-5.4,Within Expected Range,0.3556,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
100,Engineering,Software Engineer,Bachelor,50,1.0,4243.07,64.0,2023-05-11,Yes,4249.47,-6.4,-0.2,Within Expected Range,0.5991,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
786,Engineering,Software Engineer,Bachelor,50,9.0,6458.52,70.0,2015-11-26,No,6244.36,214.16,3.4,Within Expected Range,0.3449,Low,0,No,1,"Established, Higher-Income Employees"
154,Marketing,Marketing Analyst,High School,42,2.0,2873.64,71.0,2022-12-18,No,3569.65,-696.01,-19.5,Within Expected Range,0.5916,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
47,HR,HR Manager,Master,25,12.0,7633.42,55.0,2012-02-08,No,7733.22,-99.8,-1.3,Within Expected Range,0.2436,Low,0,No,1,"Established, Higher-Income Employees"
5,Sales,Sales Manager,Master,56,2.6,5659.42,80.0,2024-07-25,Yes,5327.5,331.92,6.2,Within Expected Range,0.6086,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
173,Sales,Sales Manager,Master,38,2.0,4876.5,58.0,2022-07-07,No,5161.36,-284.86,-5.5,Within Expected Range,0.5672,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
966,Sales,Sales Executive,Bachelor,30,7.0,6996.87,77.0,2017-08-07,No,5692.66,1304.21,22.9,Within Expected Range,0.3679,Medium,0,Yes,1,"Established, Higher-Income Employees"
927,Marketing,Content Specialist,Bachelor,42,0.0,4490.99,57.0,2024-05-17,Yes,3722.04,768.95,20.7,Within Expected Range,0.5118,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
998,Sales,Account Rep,Bachelor,43,0.0,4061.57,87.0,2024-10-23,No,3810.67,250.9,6.6,Within Expected Range,0.4576,Medium,1,Yes,0,"Short-Tenure, Lower-Income Employees"
260,Engineering,QA Engineer,Bachelor,31,1.0,4066.44,73.0,2023-08-01,No,4164.08,-97.64,-2.3,Within Expected Range,0.4315,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
559,Sales,Sales Manager,PhD,27,10.0,8586.79,80.0,2014-06-06,No,8008.47,578.32,7.2,Within Expected Range,0.2306,Low,0,No,1,"Established, Higher-Income Employees"
233,Sales,Sales Manager,Bachelor,42,5.0,4501.98,77.0,2019-05-10,No,5053.82,-551.84,-10.9,Within Expected Range,0.4659,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
109,Finance,Accountant,Bachelor,47,1.0,4961.88,54.0,2023-06-22,Yes,4027.87,934.01,23.2,Within Expected Range,0.7096,High,0,No,0,"Short-Tenure, Lower-Income Employees"
855,Engineering,Senior Engineer,Bachelor,31,1.0,4300.9,82.0,2023-03-13,No,4149.3,151.6,3.7,Within Expected Range,0.6124,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
981,Marketing,Content Specialist,Master,48,0.0,4435.48,91.0,2024-05-20,No,4589.69,-154.21,-3.4,Within Expected Range,0.5778,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
99,Sales,Sales Executive,Master,41,7.2,5579.88,78.0,2021-01-06,No,6611.9,-1032.02,-15.6,Within Expected Range,0.5819,Medium,0,Yes,1,"Established, Higher-Income Employees"
766,HR,HR Manager,Master,29,2.0,5924.22,50.0,2022-07-12,Yes,5243.12,681.1,13.0,Within Expected Range,0.5113,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
834,Engineering,Software Engineer,Master,28,0.0,5443.1,79.0,2024-06-16,No,4843.18,599.92,12.4,Within Expected Range,0.4494,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
221,Finance,Financial Analyst,High School,28,7.0,4989.51,70.0,2017-10-13,No,4710.93,278.58,5.9,Within Expected Range,0.2779,Low,0,No,1,"Established, Higher-Income Employees"
358,Engineering,Senior Engineer,High School,25,8.0,5999.14,74.0,2016-02-13,No,5028.7,970.44,19.3,Within Expected Range,0.3143,Low,0,No,1,"Established, Higher-Income Employees"
972,Engineering,Software Engineer,Master,36,2.0,5678.76,70.0,2022-02-05,No,5347.77,330.99,6.2,Within Expected Range,0.4721,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
25,Sales,Sales Executive,Bachelor,29,8.0,5688.87,71.6,2016-06-19,No,5940.74,-251.87,-4.2,Within Expected Range,0.4183,Medium,0,Yes,1,"Established, Higher-Income Employees"
993,Engineering,Software Engineer,Bachelor,44,1.0,3872.68,71.0,2023-05-14,Yes,4245.01,-372.33,-8.8,Within Expected Range,0.5673,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
682,Engineering,QA Engineer,High School,24,0.4,2277.65,60.0,2024-01-09,No,3147.56,-869.91,-27.6,Within Expected Range,0.4346,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
385,Sales,Account Rep,Bachelor,32,1.2,3441.67,84.0,2023-11-18,No,4100.49,-658.82,-16.1,Within Expected Range,0.3985,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
95,Finance,Finance Manager,Bachelor,38,0.0,3512.89,70.0,2024-10-03,Yes,3810.22,-297.33,-7.8,Within Expected Range,0.5998,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
771,Marketing,Marketing Manager,Bachelor,21,1.0,4517.51,83.0,2023-07-22,No,4163.91,353.6,8.5,Within Expected Range,0.4475,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
114,Finance,Accountant,Master,45,2.8,5817.87,95.0,2022-06-26,No,5338.15,479.72,9.0,Within Expected Range,0.6413,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
126,Sales,Account Rep,PhD,28,0.0,6601.62,65.0,2024-01-12,No,5516.95,1084.67,19.7,Within Expected Range,0.3943,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
61,Marketing,Marketing Manager,Bachelor,56,0.0,2881.73,61.0,2024-12-02,Yes,3942.04,-1060.31,-26.9,Within Expected Range,0.7876,High,0,Yes,0,"Short-Tenure, Lower-Income Employees"
434,HR,HR Manager,Master,28,3.0,4855.43,79.0,2021-11-25,No,5493.72,-638.29,-11.6,Within Expected Range,0.5015,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
296,Engineering,QA Engineer,Master,29,5.0,7022.31,68.8,2019-05-10,No,6019.5,1002.81,16.7,Within Expected Range,0.2857,Low,0,No,1,"Established, Higher-Income Employees"
245,Marketing,Content Specialist,Bachelor,41,0.0,3737.51,100.0,2024-03-20,No,3724.37,13.14,0.4,Within Expected Range,0.482,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
681,HR,Recruiter,PhD,52,4.0,8960.84,90.0,2020-06-26,Yes,6724.66,2236.18,33.3,Above Expected,0.4668,Medium,1,Yes,1,"Established, Higher-Income Employees"
76,Finance,Accountant,Bachelor,21,2.0,4903.51,87.0,2022-07-03,Yes,4258.03,645.48,15.2,Within Expected Range,0.4793,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
899,Sales,Sales Executive,Bachelor,25,6.2,2901.76,73.0,2023-08-25,No,5488.78,-2587.02,-47.1,Below Expected,0.5643,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
427,Engineering,Senior Engineer,High School,25,3.0,5100.42,97.0,2021-10-26,No,3783.86,1316.56,34.8,Within Expected Range,0.4047,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
716,HR,HR Manager,High School,30,2.0,3888.19,67.0,2022-12-27,No,3524.85,363.34,10.3,Within Expected Range,0.4588,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
418,Sales,Account Rep,Bachelor,32,5.0,6136.66,88.0,2019-09-23,No,5048.14,1088.52,21.6,Within Expected Range,0.221,Low,1,Yes,1,"Established, Higher-Income Employees"
910,Sales,Sales Manager,Bachelor,44,2.0,3936.03,64.0,2022-02-15,No,4306.61,-370.58,-8.6,Within Expected Range,0.5787,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
390,Marketing,Marketing Manager,Master,33,0.0,4200.99,64.0,2024-02-25,No,4783.34,-582.35,-12.2,Within Expected Range,0.6581,High,0,Yes,0,"Short-Tenure, Lower-Income Employees"
54,Finance,Accountant,Master,26,3.0,5569.77,75.0,2021-10-23,No,5370.77,199.0,3.7,Within Expected Range,0.5507,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
844,HR,Recruiter,Bachelor,21,5.0,5051.16,66.0,2019-10-21,No,5226.13,-174.97,-3.3,Within Expected Range,0.3373,Low,0,Yes,0,"Short-Tenure, Lower-Income Employees"
351,Finance,Accountant,Bachelor,25,0.0,3603.93,80.0,2024-08-09,No,3762.22,-158.29,-4.2,Within Expected Range,0.6176,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
472,Sales,Sales Executive,Bachelor,44,1.0,4143.85,67.0,2023-04-02,Yes,4207.71,-63.86,-1.5,Within Expected Range,0.7144,High,0,Yes,0,"Short-Tenure, Lower-Income Employees"
532,Sales,Account Rep,PhD,52,2.0,7035.25,75.0,2022-08-09,No,6036.21,999.04,16.6,Within Expected Range,0.4897,Medium,0,Yes,1,"Established, Higher-Income Employees"
644,Sales,Sales Executive,High School,36,16.0,6919.47,74.0,2008-06-14,No,7081.0,-161.53,-2.3,Within Expected Range,0.2257,Low,0,Yes,1,"Established, Higher-Income Employees"
404,Marketing,Marketing Manager,Master,27,0.0,4935.97,51.0,2024-02-22,Yes,4777.41,158.56,3.3,Within Expected Range,0.6005,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
907,Engineering,QA Engineer,High School,21,0.0,3354.65,73.0,2024-06-16,No,3046.3,308.35,10.1,Within Expected Range,0.3492,Low,0,No,0,"Short-Tenure, Lower-Income Employees"
493,Finance,Finance Manager,Bachelor,39,4.0,4749.94,60.0,2020-06-04,No,4807.54,-57.6,-1.2,Within Expected Range,0.4899,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
376,HR,Recruiter,Bachelor,23,1.6,3106.69,69.0,2024-12-15,Yes,4380.37,-1273.68,-29.1,Within Expected Range,0.5007,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
913,Marketing,Marketing Manager,Bachelor,21,4.0,4226.73,77.0,2020-09-04,No,4911.39,-684.66,-13.9,Within Expected Range,0.4212,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
511,Sales,Sales Executive,PhD,31,0.0,5156.98,67.0,2024-03-03,No,5667.96,-510.98,-9.0,Within Expected Range,0.7261,High,0,Yes,0,"Short-Tenure, Lower-Income Employees"
98,Finance,Financial Analyst,Bachelor,30,2.0,3410.34,63.0,2022-10-18,No,4325.72,-915.38,-21.2,Within Expected Range,0.5243,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
286,Marketing,Marketing Analyst,Bachelor,29,0.0,3085.05,54.0,2024-04-27,Yes,3919.18,-834.13,-21.3,Within Expected Range,0.6177,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
783,Sales,Sales Executive,Master,30,2.2,4728.2,83.0,2024-04-25,Yes,5356.61,-628.41,-11.7,Within Expected Range,0.6251,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
740,Finance,Finance Manager,Master,37,1.0,4004.03,71.0,2023-08-12,No,4918.94,-914.91,-18.6,Within Expected Range,0.6187,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
499,Engineering,Senior Engineer,High School,25,6.0,4743.11,80.0,2018-10-06,No,4530.53,212.58,4.7,Within Expected Range,0.3977,Medium,0,No,1,"Established, Higher-Income Employees"
781,Finance,Finance Manager,Bachelor,21,2.0,4145.89,75.0,2022-06-19,No,4295.09,-149.2,-3.5,Within Expected Range,0.4086,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
18,Finance,Financial Analyst,Bachelor,34,7.0,5312.33,84.0,2017-04-11,No,5577.11,-264.78,-4.7,Within Expected Range,0.3426,Low,0,No,1,"Established, Higher-Income Employees"
197,Finance,Financial Analyst,Bachelor,25,2.0,4804.95,69.0,2022-06-12,No,4322.01,482.94,11.2,Within Expected Range,0.4082,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
27,Finance,Accountant,High School,51,5.0,4654.12,72.0,2019-01-24,No,4169.57,484.55,11.6,Within Expected Range,0.6013,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
729,HR,HR Manager,Master,30,2.0,4036.99,63.0,2022-08-27,No,5244.9,-1207.91,-23.0,Within Expected Range,0.5976,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
744,Sales,Account Rep,PhD,33,2.6,5132.78,39.0,2024-10-16,No,6167.38,-1034.6,-16.8,Within Expected Range,0.4989,Medium,0,Yes,0,"Short-Tenure, Lower-Income Employees"
345,Engineering,Software Engineer,Bachelor,39,0.0,2448.96,87.0,2024-04-20,No,3992.73,-1543.77,-38.7,Within Expected Range,0.5999,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
703,Marketing,Content Specialist,Master,35,6.0,4741.72,65.0,2018-04-06,No,6072.82,-1331.1,-21.9,Within Expected Range,0.4085,Medium,0,No,1,"Established, Higher-Income Employees"
190,Sales,Sales Executive,Master,36,1.8,5909.95,95.0,2020-05-03,No,5262.75,647.2,12.3,Within Expected Range,0.5957,Medium,1,Yes,0,"Short-Tenure, Lower-Income Employees"
743,Engineering,QA Engineer,Bachelor,44,3.0,3017.63,79.6,2021-01-26,No,4673.96,-1656.33,-35.4,Within Expected Range,0.5339,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
971,Engineering,Senior Engineer,Master,26,11.0,6364.49,71.0,2013-08-05,No,7497.57,-1133.08,-15.1,Within Expected Range,0.3903,Medium,0,No,1,"Established, Higher-Income Employees"
271,Sales,Sales Manager,High School,39,4.0,4892.35,76.0,2020-11-13,No,3941.78,950.57,24.1,Within Expected Range,0.3743,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
807,Marketing,Marketing Analyst,Master,28,0.0,5213.31,81.0,2024-02-13,No,4780.5,432.81,9.1,Within Expected Range,0.5327,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
813,Sales,Sales Manager,High School,36,1.0,3350.23,48.0,2023-10-25,Yes,3189.32,160.91,5.0,Within Expected Range,0.5232,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
779,HR,HR Manager,Bachelor,31,0.0,2858.12,88.0,2024-02-08,No,3888.79,-1030.67,-26.5,Within Expected Range,0.5932,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
796,Sales,Account Rep,Master,40,4.0,6735.44,84.0,2020-02-14,No,5665.35,1070.09,18.9,Within Expected Range,0.3129,Low,0,Yes,1,"Established, Higher-Income Employees"
352,HR,HR Manager,High School,33,7.0,4546.1,46.0,2017-08-09,No,4772.33,-226.23,-4.7,Within Expected Range,0.3927,Medium,0,No,1,"Established, Higher-Income Employees"
386,Engineering,Software Engineer,Bachelor,26,1.0,3938.53,51.0,2023-11-06,Yes,4228.6,-290.07,-6.9,Within Expected Range,0.4672,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
753,Engineering,QA Engineer,Bachelor,42,0.0,4283.25,79.0,2024-03-04,No,3924.34,358.91,9.1,Within Expected Range,0.505,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
792,Engineering,Software Engineer,High School,30,6.0,4985.44,93.0,2018-07-04,No,4621.36,364.08,7.9,Within Expected Range,0.2484,Low,1,No,1,"Established, Higher-Income Employees"
732,Engineering,Senior Engineer,Master,32,6.0,6008.74,61.0,2018-01-21,No,6255.29,-246.55,-3.9,Within Expected Range,0.5483,Medium,0,No,1,"Established, Higher-Income Employees"
263,Marketing,Marketing Analyst,Bachelor,37,0.0,3775.87,76.0,2024-02-26,No,3927.43,-151.56,-3.9,Within Expected Range,0.6061,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
841,Engineering,QA Engineer,High School,33,0.0,2756.01,75.0,2024-08-01,No,3056.41,-300.4,-9.8,Within Expected Range,0.4571,Medium,0,No,0,"Short-Tenure, Lower-Income Employees"
75,Engineering,QA Engineer,High School,45,2.0,2103.84,86.0,2022-01-08,No,3565.79,-1461.95,-41.0,Within Expected Range,0.5256,Medium,1,No,0,"Short-Tenure, Lower-Income Employees"
169,Engineering,Software Engineer,Bachelor,50,4.4,5670.02,64.0,2020-01-14,No,5097.11,572.91,11.2,Within Expected Range,0.4678,Medium,0,No,1,"Established, Higher-Income Employees"
